id,age,agecat,sex,order,boxtype,trialtype,order2,trialno,side,response,correct
32,5,five,2,penfirst,pink-right,sticker,2,4,R,L,0
32,5,five,2,penfirst,pink-right,sticker,2,5,R,R,1
32,5,five,2,penfirst,pink-right,sticker,2,6,L,L,1
32,5,five,2,penfirst,pink-right,sticker,2,7,R,L,0
32,5,five,2,penfirst,pink-right,sticker,2,8,L,R,0
33,4,four,1,stickerfirst,pink-right,pen,2,1,R,L,1
33,4,four,1,stickerfirst,pink-right,pen,2,2,L,R,1
33,4,four,1,stickerfirst,pink-right,pen,2,3,L,R,1
33,4,four,1,stickerfirst,pink-right,pen,2,4,R,L,1
33,4,four,1,stickerfirst,pink-right,pen,2,5,R,R,0
33,4,four,1,stickerfirst,pink-right,pen,2,6,L,R,1
33,4,four,1,stickerfirst,pink-right,pen,2,7,R,L,1
33,4,four,1,stickerfirst,pink-right,pen,2,8,L,R,1
33,4,four,1,stickerfirst,pink-right,sticker,1,1,L,L,1
33,4,four,1,stickerfirst,pink-right,sticker,1,2,R,R,1
33,4,four,1,stickerfirst,pink-right,sticker,1,3,R,R,1
33,4,four,1,stickerfirst,pink-right,sticker,1,4,L,L,1
33,4,four,1,stickerfirst,pink-right,sticker,1,5,R,R,1
33,4,four,1,stickerfirst,pink-right,sticker,1,6,L,L,1
33,4,four,1,stickerfirst,pink-right,sticker,1,7,L,L,1
33,4,four,1,stickerfirst,pink-right,sticker,1,8,R,R,1
34,4,four,2,stickerfirst,pink-right,pen,2,1,R,L,1
34,4,four,2,stickerfirst,pink-right,pen,2,2,L,R,1
34,4,four,2,stickerfirst,pink-right,pen,2,3,R,L,1
34,4,four,2,stickerfirst,pink-right,pen,2,4,L,R,1
34,4,four,2,stickerfirst,pink-right,pen,2,5,R,L,1
34,4,four,2,stickerfirst,pink-right,pen,2,6,L,R,1
34,4,four,2,stickerfirst,pink-right,pen,2,7,L,R,1
34,4,four,2,stickerfirst,pink-right,pen,2,8,R,L,1
34,4,four,2,stickerfirst,pink-right,sticker,1,1,L,L,1
34,4,four,2,stickerfirst,pink-right,sticker,1,2,L,L,1
34,4,four,2,stickerfirst,pink-right,sticker,1,3,R,R,1
34,4,four,2,stickerfirst,pink-right,sticker,1,4,L,L,1
34,4,four,2,stickerfirst,pink-right,sticker,1,5,R,R,1
34,4,four,2,stickerfirst,pink-right,sticker,1,6,R,R,1
34,4,four,2,stickerfirst,pink-right,sticker,1,7,L,L,1
34,4,four,2,stickerfirst,pink-right,sticker,1,8,R,R,1
35,4,four,1,penfirst,pink-right,pen,1,1,R,L,1
35,4,four,1,penfirst,pink-right,pen,1,2,L,R,1
35,4,four,1,penfirst,pink-right,pen,1,3,L,R,1
35,4,four,1,penfirst,pink-right,pen,1,4,R,L,1
35,4,four,1,penfirst,pink-right,pen,1,5,R,L,1
35,4,four,1,penfirst,pink-right,pen,1,6,L,R,1
35,4,four,1,penfirst,pink-right,pen,1,7,R,L,1
35,4,four,1,penfirst,pink-right,pen,1,8,L,R,1
35,4,four,1,penfirst,pink-right,sticker,2,1,L,L,1
35,4,four,1,penfirst,pink-right,sticker,2,2,R,R,1
35,4,four,1,penfirst,pink-right,sticker,2,3,R,R,1
35,4,four,1,penfirst,pink-right,sticker,2,4,L,R,0
35,4,four,1,penfirst,pink-right,sticker,2,5,R,L,0
35,4,four,1,penfirst,pink-right,sticker,2,6,L,L,1
35,4,four,1,penfirst,pink-right,sticker,2,7,L,L,1
35,4,four,1,penfirst,pink-right,sticker,2,8,R,R,1
36,3,three,2,penfirst,pink-right,pen,1,1,L,L,0
36,3,three,2,penfirst,pink-right,pen,1,2,L,L,0
36,3,three,2,penfirst,pink-right,pen,1,3,R,R,0
36,3,three,2,penfirst,pink-right,pen,1,4,L,L,0
36,3,three,2,penfirst,pink-right,pen,1,5,R,L,1
36,3,three,2,penfirst,pink-right,pen,1,6,R,R,0
36,3,three,2,penfirst,pink-right,pen,1,7,L,R,1
36,3,three,2,penfirst,pink-right,pen,1,8,R,L,1
36,3,three,2,penfirst,pink-right,sticker,2,1,R,L,0
36,3,three,2,penfirst,pink-right,sticker,2,2,L,R,0
36,3,three,2,penfirst,pink-right,sticker,2,3,R,L,0
36,3,three,2,penfirst,pink-right,sticker,2,4,L,L,1
36,3,three,2,penfirst,pink-right,sticker,2,5,R,R,1
36,3,three,2,penfirst,pink-right,sticker,2,6,L,L,1
36,3,three,2,penfirst,pink-right,sticker,2,7,R,R,1
36,3,three,2,penfirst,pink-right,sticker,2,8,L,L,1
38,4,four,2,stickerfirst,pink-right,pen,2,1,R,L,1
38,4,four,2,stickerfirst,pink-right,pen,2,2,L,R,1
38,4,four,2,stickerfirst,pink-right,pen,2,3,R,L,1
38,4,four,2,stickerfirst,pink-right,pen,2,4,L,R,1
38,4,four,2,stickerfirst,pink-right,pen,2,5,R,L,1
38,4,four,2,stickerfirst,pink-right,pen,2,6,L,R,1
38,4,four,2,stickerfirst,pink-right,pen,2,7,L,L,0
38,4,four,2,stickerfirst,pink-right,pen,2,8,R,R,0
38,4,four,2,stickerfirst,pink-right,sticker,1,1,L,L,1
38,4,four,2,stickerfirst,pink-right,sticker,1,2,L,L,1
38,4,four,2,stickerfirst,pink-right,sticker,1,3,R,R,1
38,4,four,2,stickerfirst,pink-right,sticker,1,4,L,R,0
38,4,four,2,stickerfirst,pink-right,sticker,1,5,R,L,0
38,4,four,2,stickerfirst,pink-right,sticker,1,6,R,R,1
38,4,four,2,stickerfirst,pink-right,sticker,1,7,L,L,1
38,4,four,2,stickerfirst,pink-right,sticker,1,8,R,R,1
